index,corr. coef
3811-19420,0.768_0.674
3811-26820,1.246_0.517
3841-15824,1.295_0.652
3811-13810,1.459_0.764
3833-26278,1.808_0.63
3809-26907,1.266_0.751
3811-8838,1.73_0.714
3833-5675,0.388_0.78
3809-4621,0.732_0.49
3803-31719,0.924_0.876
3841-1840,0.692_0.641
3841-26348,1.657_0.595
3811-13410,1.078_0.836
3803-5556,0.276_0.803
3841-16107,1.621_0.722
3841-16611,0.284_0.623
3809-1661,1.656_0.754
3809-25878,1.183_0.689
3841-10577,0.717_0.617
3841-2554,0.308_0.744
3833-25137,0.753_0.579
3809-23201,1.373_0.586
3841-2296,1.389_0.604
3833-26292,0.662_0.784
3833-20169,0.414_0.612
3841-20524,1.016_0.723
3811-30046,0.44_0.616
3811-14276,1.512_0.597
3811-26884,0.484_0.689
3811-8586,0.508_0.738
3809-20108,0.388_0.721
3811-1360,0.698_0.81
3811-2340,1.787_0.744
3809-7422,2.0_0.589
3811-4645,1.198_0.742
3811-16055,1.256_0.686
3811-25149,1.174_0.626
3841-21782,0.331_0.844
3809-10931,1.264_0.657
3841-4996,0.766_0.607
3811-19900,0.326_0.619
3811-26647,0.468_0.752
3811-10974,1.264_0.639
3809-2328,0.576_0.636
3811-2563,0.57_0.653
3833-2678,0.399_0.738
3833-8812,1.907_0.684
3811-15824,1.342_0.631
3841-1258,0.337_0.595
3809-20769,0.411_0.642
3811-24742,1.288_0.58
3809-1438,2.0_0.687
3841-10932,0.871_0.771
3809-2789,1.627_0.539
3809-30046,0.364_0.877
3809-26169,0.481_0.769
3811-5675,0.63_0.81
3811-2341,0.969_0.559
3811-19831,1.253_0.729
3809-25069,1.232_0.62
3809-1958,1.703_0.756
3811-19126,0.943_0.533
3809-13754,1.016_0.776
3841-2397,1.242_0.599
3841-10551,0.682_0.798
3809-25881,1.125_0.488
3833-16896,0.69_0.739
3809-19900,0.877_0.639
3811-9763,1.064_0.733
3811-23115,1.01_0.68
3809-25045,0.633_0.762
3811-24302,1.223_0.696
3811-10316,0.959_0.761
3833-4625,0.831_0.539
3803-25834,2.0_0.668
3809-9858,1.368_0.729
3833-2274,0.231_0.737
3811-26492,0.089_0.848
3811-14106,1.542_0.624
3811-23772,0.746_0.595
3833-26650,2.0_0.621
3833-20769,1.412_0.721
3841-14409,0.893_0.678
3803-31080,1.232_0.748
3811-2466,0.793_0.673
3803-2524,2.0_0.701
3809-26882,0.18_0.858
3803-3002,1.082_0.805
3841-19831,0.665_0.546
3811-19027,1.095_0.727
3811-27173,0.563_0.846
3811-2274,1.658_0.569
3811-6356,0.958_0.696
3833-16122,0.404_0.61
3809-26647,2.0_0.83
3809-18853,1.353_0.768
3833-2394,0.65_0.589
3811-10859,1.662_0.654
3811-19615,0.093_0.678
3811-25130,1.499_0.671
3809-8706,0.192_0.65
3833-18223,1.928_0.789
3811-26679,0.707_0.802
3809-7222,2.0_0.555
3811-27212,0.512_0.651
3811-22780,0.482_0.58
3841-31719,1.06_0.801
3811-15826,0.51_0.597
3811-9037,2.0_0.571
3841-26639,0.942_0.67
3809-6697,2.0_0.657
3841-27421,1.162_0.706
3841-22780,0.55_0.564
3809-10006,2.0_0.663
3809-1840,1.039_0.648
3809-2296,1.556_0.726
3841-6661,2.0_0.706
3811-30422,2.0_0.539
3841-10930,0.208_0.839
3833-26679,0.835_0.637
3809-24796,1.265_0.659
3833-10974,1.024_0.582
3809-9723,2.0_0.727
3811-18039,2.0_0.605
3841-20769,0.235_0.54
3809-1668,2.0_0.7
3811-10227,2.0_0.657
3809-1506,2.0_0.689
3833-25069,2.0_0.632
3809-4102,2.0_0.687
3809-2556,1.706_0.679
