index,corr. coef
3803-2394,0.676_0.658
3811-2276,1.083_0.537
3841-26002,0.487_0.681
3809-26182,1.154_0.648
3809-2609,0.247_0.804
3809-2556,0.629_0.642
3809-8811,0.732_0.587
3809-18171,0.152_0.763
3809-26181,0.303_0.584
3841-26638,0.59_0.596
3811-26676,0.257_0.623
3809-9723,0.844_0.603
3811-24743,0.429_0.629
3841-31264,0.138_0.844
3833-7053,1.128_0.537
3833-21117,1.507_0.495
3803-24755,1.299_0.544
3809-20176,0.636_0.588
3841-25141,0.045_0.738
3809-26735,0.353_0.666
3841-15467,0.94_0.617
3809-2390,1.008_0.827
3809-26375,0.557_0.744
3803-26502,1.304_0.709
3811-18885,1.345_0.859
3803-15467,0.978_0.683
3803-1360,1.309_0.696
3803-1910,1.372_0.693
3809-23913,0.501_0.644
3811-25141,0.624_0.688
3841-18125,0.549_0.575
3809-24816,0.961_0.514
3809-16896,1.381_0.66
3811-25002,1.407_0.75
3803-461,1.202_0.783
3809-10357,0.972_0.585
3809-22780,0.242_0.725
3833-7203,1.42_0.677
3841-2285,0.158_0.699
3841-19536,0.076_0.649
3811-19420,0.728_0.636
3811-26820,1.042_0.552
3811-25126,0.954_0.775
3833-26278,1.673_0.576
3811-4629,1.356_0.783
3833-5675,0.284_0.764
3835-18548,2.0_0.813
3803-23111,1.006_0.622
3811-7057,1.041_0.647
3809-26907,0.488_0.804
3803-16896,1.805_0.725
3841-26348,1.513_0.702
3811-24028,0.86_0.553
3811-18853,0.947_0.675
3811-15829,0.685_0.705
3811-22891,0.273_0.686
3803-5556,0.434_0.803
3841-2554,0.14_0.847
3841-10577,0.703_0.729
3809-4621,0.801_0.59
3809-31470,0.484_0.743
3811-25878,0.362_0.876
3811-1378,0.883_0.7
3811-30046,0.279_0.699
3811-2328,0.433_0.572
3803-31719,0.815_0.882
3841-2296,1.342_0.605
3841-20524,2.0_0.781
3809-25878,0.607_0.786
3803-2524,0.659_0.712
3841-25876,0.814_0.79
3809-23201,0.186_0.651
3841-16107,1.748_0.676
3833-20169,0.574_0.587
3803-2958,0.343_0.764
3809-20108,1.013_0.726
3811-4645,0.522_0.713
3811-25149,0.952_0.65
3833-25137,0.75_0.673
3809-10931,0.841_0.601
3809-7422,1.452_0.67
3841-21782,0.868_0.838
3811-26638,0.552_0.547
3811-1830,0.765_0.544
3833-2678,0.761_0.756
3811-26290,0.633_0.753
3835-18468,1.39_0.627
3803-26638,2.0_0.52
3841-4996,1.007_0.567
3833-8812,0.425_0.704
3811-15467,0.268_0.874
3803-26348,0.957_0.542
3841-1258,0.403_0.583
3811-24742,1.287_0.683
3811-21927,0.65_0.748
3809-20769,0.237_0.753
3811-13810,1.477_0.785
3841-10932,1.552_0.756
3809-2328,0.985_0.589
3811-8586,0.386_0.667
3809-26169,0.311_0.791
3809-30046,0.229_0.871
3811-19831,1.618_0.7
3809-25881,1.088_0.541
3811-26864,0.388_0.788
3811-25144,1.985_0.868
3809-2789,1.3_0.46
3811-26882,0.711_0.727
3811-19126,0.986_0.611
3841-10551,1.973_0.767
3803-13515,0.552_0.57
3809-13754,1.544_0.679
3811-9763,1.285_0.797
3803-7203,1.603_0.564
3809-1958,1.773_0.72
3811-23111,0.35_0.615
3809-19900,0.414_0.701
3811-16059,2.0_0.575
3811-2341,0.459_0.46
3811-9506,1.412_0.791
3809-25045,0.438_0.825
3809-9858,1.362_0.735
3833-2274,0.719_0.7
3811-23115,1.527_0.633
3833-16896,0.252_0.698
3841-16611,0.653_0.498
3811-14106,1.509_0.605
3803-11326,1.007_0.543
3803-25834,1.248_0.764
3809-26882,0.217_0.888
